"DIVIPOLA","City_Municipality","ID_Deparment","Department","Sex","Range","People"
"23815","Tuchin","23","Cordoba","M","71-80","2"
"23815","Tuchin","23","Cordoba","M","41-50","1"
"25151","Caqueza","25","Cundinamarca","F","61-70","1"
"25151","Caqueza","25","Cundinamarca","M","41-50","1"
"25178","Chipaque","25","Cundinamarca","F","81-90","1"
"25178","Chipaque","25","Cundinamarca","M","41-50","1"
"25245","El Colegio","25","Cundinamarca","M","51-60","1"
"25245","El Colegio","25","Cundinamarca","M","0-1","1"
"25269","Facatativa","25","Cundinamarca","M","41-50","1"
"25290","Fusagasuga","25","Cundinamarca","F","51-60","1"
"25290","Fusagasuga","25","Cundinamarca","F","81-90","2"
"25307","Girardot","25","Cundinamarca","F","71-80","2"
"25307","Girardot","25","Cundinamarca","M","71-80","1"
"25372","Junin","25","Cundinamarca","F","81-90","1"
"25386","La Mesa","25","Cundinamarca","F","61-70","1"
"25430","Madrid","25","Cundinamarca","F","61-70","3"
"25473","Mosquera","25","Cundinamarca","F","51-60","1"
"25473","Mosquera","25","Cundinamarca","F","71-80","1"
"25473","Mosquera","25","Cundinamarca","F","61-70","1"
"25473","Mosquera","25","Cundinamarca","F","41-50","1"
"25473","Mosquera","25","Cundinamarca","F","91-99","1"
"25473","Mosquera","25","Cundinamarca","F","31-40","1"
"25473","Mosquera","25","Cundinamarca","M","71-80","2"
"25473","Mosquera","25","Cundinamarca","M","81-90","1"
"25473","Mosquera","25","Cundinamarca","M","41-50","3"
"25513","Pacho","25","Cundinamarca","F","61-70","1"
"25572","Puerto Salgar","25","Cundinamarca","M","51-60","1"
"25612","Ricaurte","25","Cundinamarca","F","71-80","1"
"25645","San Antonio del Tequendama","25","Cundinamarca","M","61-70","1"
"25754","Soacha","25","Cundinamarca","F","51-60","3"
"25754","Soacha","25","Cundinamarca","F","71-80","2"
"25754","Soacha","25","Cundinamarca","F","61-70","4"
"25754","Soacha","25","Cundinamarca","F","81-90","1"
"25754","Soacha","25","Cundinamarca","F","41-50","1"
"25754","Soacha","25","Cundinamarca","F","91-99","1"
"25754","Soacha","25","Cundinamarca","F","21-30","1"
"25754","Soacha","25","Cundinamarca","M","51-60","4"
"25754","Soacha","25","Cundinamarca","M","71-80","9"
"25754","Soacha","25","Cundinamarca","M","61-70","6"
"25754","Soacha","25","Cundinamarca","M","81-90","3"
"25754","Soacha","25","Cundinamarca","M","41-50","1"
"25754","Soacha","25","Cundinamarca","M","31-40","3"
"25758","Sopo","25","Cundinamarca","F","81-90","1"
"25758","Sopo","25","Cundinamarca","M","61-70","1"
"25758","Sopo","25","Cundinamarca","M","41-50","1"
"25772","Suesca","25","Cundinamarca","M","71-80","1"
"25799","Tenjo","25","Cundinamarca","F","51-60","1"
"25799","Tenjo","25","Cundinamarca","M","51-60","1"
"25843","Villa de de Ubate","25","Cundinamarca","F","81-90","1"
"25867","Viani","25","Cundinamarca","F","71-80","1"
"25873","Villapinzon","25","Cundinamarca","F","61-70","1"
"25873","Villapinzon","25","Cundinamarca","M","61-70","1"
"25875","Villeta","25","Cundinamarca","M","81-90","1"
"25899","Zipaquira","25","Cundinamarca","F","81-90","3"
"25899","Zipaquira","25","Cundinamarca","M","51-60","1"
"25899","Zipaquira","25","Cundinamarca","M","61-70","1"
"25899","Zipaquira","25","Cundinamarca","M","41-50","1"
"27001","Quibdo","27","Choco","F","51-60","6"
"27001","Quibdo","27","Choco","F","71-80","2"
"27001","Quibdo","27","Choco","F","61-70","11"
"27001","Quibdo","27","Choco","F","81-90","3"
"27001","Quibdo","27","Choco","F","41-50","2"
"27001","Quibdo","27","Choco","F","31-40","2"
"27001","Quibdo","27","Choco","F","11-20","1"
"27001","Quibdo","27","Choco","M","51-60","9"
"27001","Quibdo","27","Choco","M","71-80","3"
"27001","Quibdo","27","Choco","M","61-70","5"
"27001","Quibdo","27","Choco","M","81-90","2"
"27001","Quibdo","27","Choco","M","41-50","4"
"27001","Quibdo","27","Choco","M","21-30","1"
"27001","Quibdo","27","Choco","M","31-40","2"
"27075","Bahia Solano","27","Choco","M","61-70","1"
"27135","El Canton San Pablo","27","Choco","M","61-70","1"
"27413","Lloro","27","Choco","F","51-60","1"
"27600","Rio Quito","27","Choco","F","81-90","1"
"27600","Rio Quito","27","Choco","M","71-80","1"
"27600","Rio Quito","27","Choco","M","61-70","1"
"27600","Rio Quito","27","Choco","M","81-90","1"
"27810","Union Panamericana","27","Choco","F","61-70","1"
"27810","Union Panamericana","27","Choco","F","41-50","1"
"27810","Union Panamericana","27","Choco","M","61-70","2"
"41001","Neiva","41","Huila","F","61-70","2"
"41001","Neiva","41","Huila","F","81-90","1"
"41001","Neiva","41","Huila","M","51-60","1"
"41001","Neiva","41","Huila","M","71-80","2"
"41001","Neiva","41","Huila","M","91-99","1"
"41359","Isnos","41","Huila","M","61-70","1"
"41359","Isnos","41","Huila","M","91-99","1"
"41518","Paicol","41","Huila","M","51-60","1"
"41807","Timana","41","Huila","F","71-80","1"
"44001","Riohacha","44","La Guajira","F","61-70","2"
"44001","Riohacha","44","La Guajira","F","41-50","1"
"44001","Riohacha","44","La Guajira","M","61-70","2"
"44279","Fonseca","44","La Guajira","F","61-70","1"
"44279","Fonseca","44","La Guajira","M","21-30","1"
"44430","Maicao","44","La Guajira","F","71-80","3"
"44430","Maicao","44","La Guajira","F","61-70","6"
"44430","Maicao","44","La Guajira","F","81-90","1"
"44430","Maicao","44","La Guajira","F","41-50","2"
"44430","Maicao","44","La Guajira","F","91-99","1"
"44430","Maicao","44","La Guajira","M","51-60","6"
"44430","Maicao","44","La Guajira","M","71-80","9"
"44430","Maicao","44","La Guajira","M","61-70","7"
"44430","Maicao","44","La Guajira","M","81-90","3"
"44430","Maicao","44","La Guajira","M","41-50","4"
"44430","Maicao","44","La Guajira","M","31-40","1"
"44650","San Juan del Cesar","44","La Guajira","F","81-90","1"
"47001","Santa Marta","47","Magdalena","F","51-60","5"
"47001","Santa Marta","47","Magdalena","F","71-80","10"
"47001","Santa Marta","47","Magdalena","F","61-70","7"
"47001","Santa Marta","47","Magdalena","F","81-90","5"
"47001","Santa Marta","47","Magdalena","F","91-99","2"
"47001","Santa Marta","47","Magdalena","F","31-40","1"
"47001","Santa Marta","47","Magdalena","M","51-60","9"
"47001","Santa Marta","47","Magdalena","M","71-80","11"
"47001","Santa Marta","47","Magdalena","M","61-70","8"
"47001","Santa Marta","47","Magdalena","M","81-90","9"
"47001","Santa Marta","47","Magdalena","M","41-50","7"
"47001","Santa Marta","47","Magdalena","M","31-40","2"
"47161","Cerro de San Antonio","47","Magdalena","F","51-60","1"
"47189","Cienaga","47","Magdalena","F","51-60","4"
"47189","Cienaga","47","Magdalena","F","71-80","10"
"47189","Cienaga","47","Magdalena","F","61-70","8"
"47189","Cienaga","47","Magdalena","F","81-90","6"
"47189","Cienaga","47","Magdalena","F","41-50","1"
"47189","Cienaga","47","Magdalena","M","51-60","8"
"47189","Cienaga","47","Magdalena","M","71-80","12"
"47189","Cienaga","47","Magdalena","M","61-70","8"
"47189","Cienaga","47","Magdalena","M","81-90","11"
"47189","Cienaga","47","Magdalena","M","41-50","8"
"47189","Cienaga","47","Magdalena","M","91-99","1"
"47189","Cienaga","47","Magdalena","M","21-30","1"
"47189","Cienaga","47","Magdalena","M","31-40","2"
"47245","El Banco","47","Magdalena","M","81-90","1"
"47551","Pivijay","47","Magdalena","M","61-70","1"
"47551","Pivijay","47","Magdalena","M","81-90","1"
"47570","Puebloviejo","47","Magdalena","F","51-60","2"
"47570","Puebloviejo","47","Magdalena","F","71-80","5"
"47570","Puebloviejo","47","Magdalena","F","61-70","3"
"47570","Puebloviejo","47","Magdalena","M","51-60","2"
"47570","Puebloviejo","47","Magdalena","M","71-80","6"
"47570","Puebloviejo","47","Magdalena","M","61-70","3"
"47570","Puebloviejo","47","Magdalena","M","81-90","1"
"47570","Puebloviejo","47","Magdalena","M","41-50","2"
"47745","Sitionuevo","47","Magdalena","F","61-70","1"
"47745","Sitionuevo","47","Magdalena","F","81-90","1"
"47745","Sitionuevo","47","Magdalena","M","51-60","1"
"47745","Sitionuevo","47","Magdalena","M","71-80","3"
"47980","Zona Bananera","47","Magdalena","F","51-60","2"
"47980","Zona Bananera","47","Magdalena","F","71-80","1"
"47980","Zona Bananera","47","Magdalena","F","21-30","1"
"47980","Zona Bananera","47","Magdalena","M","71-80","3"
"47980","Zona Bananera","47","Magdalena","M","81-90","1"
"47980","Zona Bananera","47","Magdalena","M","21-30","1"
"50001","Villavicencio","50","Meta","F","51-60","1"
"50001","Villavicencio","50","Meta","F","71-80","1"
"50001","Villavicencio","50","Meta","F","61-70","1"
"50001","Villavicencio","50","Meta","F","81-90","1"
"50001","Villavicencio","50","Meta","F","91-99","1"
"50001","Villavicencio","50","Meta","F","21-30","1"
"50001","Villavicencio","50","Meta","M","71-80","1"
"50001","Villavicencio","50","Meta","M","61-70","3"
"50001","Villavicencio","50","Meta","M","81-90","1"
"50573","Puerto Lopez","50","Meta","F","91-99","1"
"50573","Puerto Lopez","50","Meta","M","71-80","1"
"52001","Pasto","52","Narino","F","51-60","2"
