"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"SANTANDER DE QUILICHAO","CAUCA","3.01605390077","-76.4853702902","0","1","1","0","0","0","0","","","100","2020-04-09 16:01:00"
"SANTO TOMAS","ATLÁNTICO","10.756056293","-74.7541118585","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"SINCELEJO","SUCRE","9.30233310439","-75.3954835627","1","1","0","0","0","0","0","","","","2020-04-09 16:01:00"
"SOACHA","CUNDINAMARCA","4.58549165821","-74.2145275305","10","10","0","0","8","0","0","","","","2020-04-09 16:01:00"
"SOLEDAD","ATLÁNTICO","10.9101744673","-74.784833384","11","13","2","0","11","0","0","","","15.384615384615","2020-04-09 16:01:00"
"SOPO","CUNDINAMARCA","4.90633080922","-73.9457748929","2","2","0","0","2","0","0","","","","2020-04-09 16:01:00"
"SUBACHOQUE","CUNDINAMARCA","4.92907928898","-74.1727084609","2","2","0","0","1","1","0","1","50","","2020-04-09 16:01:00"
"TENJO","CUNDINAMARCA","4.87196053725","-74.1439562115","1","1","0","0","0","0","1","1","100","","2020-04-09 16:01:00"
"TENZA","BOYACÁ","5.0770743509","-73.4205891075","2","2","0","0","2","0","0","","","","2020-04-09 16:01:00"
"TOCANCIPA","CUNDINAMARCA","4.96478635371","-73.9120912065","2","2","0","0","1","1","0","1","50","","2020-04-09 16:01:00"
"TOGUI","BOYACÁ","5.93743822459","-73.5136550618","11","11","0","0","11","0","0","","","","2020-04-09 16:01:00"
"TRUJILLO","VALLE DEL CAUCA","1.78795153983","-78.6122376428","3","3","0","0","3","0","0","","","","2020-04-09 16:01:00"
"TULUA","VALLE DEL CAUCA","4.08526123852","-76.1976996795","8","8","0","0","8","0","0","","","","2020-04-09 16:01:00"
"TUMACO","NARIÑO","1.80711725006","-78.7638541478","2","2","0","0","2","0","0","","","","2020-04-09 16:01:00"
"TUNJA","BOYACÁ","5.53995323795","-73.3554887287","4","5","1","0","2","1","0","1","20","20","2020-04-09 16:01:00"
"TURBACO","BOLÍVAR","10.3327691633","-75.4244091655","6","7","1","0","5","1","0","1","14.285714285714","14.285714285714","2020-04-09 16:01:00"
"ULLOA","VALLE DEL CAUCA","4.70251391059","-75.7377474697","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"VALLEDUPAR","CESAR","10.4604812152","-73.259389309","18","18","0","0","12","1","1","2","11.111111111111","","2020-04-09 16:01:00"
"VILLA DEL ROSARIO","NORTE DE SANTANDER","5.89524387061","-76.5440065535","2","2","0","0","1","1","0","1","50","","2020-04-09 16:01:00"
"VILLAMARIA","CALDAS","5.04380668643","-75.5137606023","2","2","0","0","1","0","0","","","","2020-04-09 16:01:00"
"VILLAPINZON","CUNDINAMARCA","5.21643837183","-73.5953546674","1","3","2","0","1","0","0","","","66.666666666667","2020-04-09 16:01:00"
"VILLAVICENCIO","META","8.45697278227","-76.1247069871","13","14","1","0","8","1","0","1","7.1428571428571","7.1428571428571","2020-04-09 16:01:00"
"VILLETA","CUNDINAMARCA","5.01279063928","-74.469704945","2","2","0","0","2","0","0","","","","2020-04-09 16:01:00"
"VITERBO","CALDAS","5.06266423587","-75.8706098599","2","2","0","0","1","0","0","","","","2020-04-09 16:01:00"
"YOPAL","CASANARE","5.3276126513","-72.396915159","3","3","0","0","2","0","0","","","","2020-04-09 16:01:00"
"YUMBO","VALLE DEL CAUCA","3.52896890809","-76.499819783","6","6","0","0","6","0","0","","","","2020-04-09 16:01:00"
"ZIPAQUIRA","CUNDINAMARCA","5.02547168537","-73.9944712419","2","3","1","0","1","0","1","1","33.333333333333","33.333333333333","2020-04-09 16:01:00"
