"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Restrepo","Meta","4.26073199369","-73.5646041828","3","3","0","0","3","0","0","","13","","","100","","","","","100","2020-04-28 17:13:00"
"Retiro","Antioquia","6.06337995392","-75.5013751615","0","1","0","1","0","0","0","","25","","","","","","","100","","2020-04-28 17:13:00"
"Río de Oro","Cesar","8.29228738416","-73.3863951998","0","2","2","0","0","0","0","","8","","","","","","100","","","2020-04-28 17:13:00"
"Riohacha","La Guajira","11.5287513839","-72.911488911","3","5","1","1","3","0","0","","579","","","60","","","20","20","60","2020-04-28 17:13:00"
"Rionegro","Antioquia","6.14722409002","-75.3767693823","1","10","0","9","1","0","0","","608","","","10","","","","90","10","2020-04-28 17:13:00"
"Sabanagrande","Atlántico","10.7910759492","-74.758507205","4","4","0","0","3","1","0","1","83","1.2048192771084","25","75","25","","","","100","2020-04-28 17:13:00"
"Sabaneta","Antioquia","6.15097018093","-75.6155852932","2","9","0","7","2","0","0","","45","","","22.222222222222","","","","77.777777777778","22.222222222222","2020-04-28 17:13:00"
"Sahagún","Córdoba","8.94312541611","-75.4459203022","0","1","0","1","0","0","0","","240","","","","","","","100","","2020-04-28 17:13:00"
"San Agustín","Huila","8.167921639","-74.661049672","2","2","0","0","2","0","0","","15","","","100","","","","","100","2020-04-28 17:13:00"
"San Andrés","Archipiélago de San Andrés Providencia y Santa Catalina","6.39872921828","-75.440016949","3","6","0","3","3","0","0","","9","","","50","","","","50","50","2020-04-28 17:13:00"
"San Andrés de Tumaco","Nariño","1.80711725006","-78.7638541478","23","27","2","2","22","1","0","1","246","0.40650406504065","3.7037037037037","81.481481481481","3.7037037037037","","7.4074074074074","7.4074074074074","85.185185185185","2020-04-28 17:13:00"
"San Cristóbal","Bolívar","10.3928557722","-75.0655341715","1","1","0","0","0","0","1","1","2","50","100","","","100","","","100","2020-04-28 17:13:00"
"San Diego","Cesar","5.66527168584","-74.9332394378","1","2","0","1","1","0","0","","11","","","50","","","","50","50","2020-04-28 17:13:00"
"San Francisco","Antioquia","5.96407913115","-75.1026869656","0","1","1","0","0","0","0","","6","","","","","","100","","","2020-04-28 17:13:00"
"San Juan de Arama","Meta","3.37372787444","-73.875831539","2","2","0","0","2","0","0","","10","","","100","","","","","100","2020-04-28 17:13:00"
"San Juan de Rioseco","Cundinamarca","4.84757599913","-74.6219147166","1","2","0","1","1","0","0","","6","","","50","","","","50","50","2020-04-28 17:13:00"
"San Martín","Cesar","6.53433012953","-76.8447910108","1","1","0","0","0","1","0","1","12","8.3333333333333","100","","100","","","","100","2020-04-28 17:13:00"
"San Pedro","Valle del Cauca","5.25045488109","-75.7942693728","2","3","0","1","2","0","0","","5","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-28 17:13:00"
"San Pedro de Urabá","Antioquia","8.27688666409","-76.380577886","1","1","0","0","1","0","0","","10","","","100","","","","","100","2020-04-28 17:13:00"
"Santa Marta","Santa Marta D.T. y C.","11.2294335041","-74.1908941206","106","137","14","17","92","13","1","14","1969","0.71102082275267","10.21897810219","67.153284671533","9.4890510948905","0.72992700729927","10.21897810219","12.408759124088","77.372262773723","2020-04-28 17:13:00"
"Santa Rosa","Bolívar","9.06946150984","-74.6714498299","2","2","0","0","2","0","0","","33","","","100","","","","","100","2020-04-28 17:13:00"
"Santa Rosa de Cabal","Risaralda","4.86752645418","-75.6200106565","2","3","0","1","2","0","0","","16","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-28 17:13:00"
"Santa Rosa de Osos","Antioquia","6.64332600099","-75.4607450191","0","2","0","2","0","0","0","","13","","","","","","","100","","2020-04-28 17:13:00"
"Santa Sofía","Boyacá","5.71326942075","-73.6027071719","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-04-28 17:13:00"
"Santana","Boyacá","5.77866547593","-72.945544503","2","4","0","2","2","0","0","","0","","","50","","","","50","50","2020-04-28 17:13:00"
"Santander de Quilichao","Cauca","3.01605390077","-76.4853702902","0","1","1","0","0","0","0","","65","","","","","","100","","","2020-04-28 17:13:00"
"Santo Tomás","Atlántico","10.756056293","-74.7541118585","0","1","0","1","0","0","0","","65","","","","","","","100","","2020-04-28 17:13:00"
"Sibaté","Cundinamarca","4.48976359282","-74.2589922464","4","4","0","0","3","1","0","1","6","16.666666666667","25","75","25","","","","100","2020-04-28 17:13:00"
