"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Tenza","Boyacá","5.0770743509","-73.4205891075","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Tierralta","Córdoba","9.10500159924","-75.806480569","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Timaná","Huila","1.9742244433","-75.932086996","1","2","1","0","0","1","0","1","50","","50","","50","","50","2020-04-24 10:18:00"
"Timbío","Cauca","2.34997642507","-76.6842387889","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Tocancipá","Cundinamarca","4.96478635371","-73.9120912065","1","3","0","2","1","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-24 10:18:00"
"Togüí","Boyacá","5.93743822459","-73.5136550618","10","12","0","2","10","0","0","","","83.333333333333","","","","16.666666666667","83.333333333333","2020-04-24 10:18:00"
"Trujillo","Valle del Cauca","1.78795153983","-78.6122376428","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-24 10:18:00"
"Tuluá","Valle del Cauca","4.08526123852","-76.1976996795","11","14","0","3","10","1","0","1","7.1428571428571","71.428571428571","7.1428571428571","","","21.428571428571","78.571428571429","2020-04-24 10:18:00"
"Tunja","Boyacá","5.53995323795","-73.3554887287","4","7","1","2","4","0","0","","","57.142857142857","","","14.285714285714","28.571428571429","57.142857142857","2020-04-24 10:18:00"
"Túquerres","Nariño","1.08519335919","-77.6168863825","1","1","0","0","0","1","0","1","100","","100","","","","100","2020-04-24 10:18:00"
"Turbaco","Bolívar","10.3327691633","-75.4244091655","8","11","1","2","8","0","0","","","72.727272727273","","","9.0909090909091","18.181818181818","72.727272727273","2020-04-24 10:18:00"
"Ulloa","Valle del Cauca","4.70251391059","-75.7377474697","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Valledupar","Cesar","10.4604812152","-73.259389309","18","37","2","17","16","2","0","2","5.4054054054054","43.243243243243","5.4054054054054","","5.4054054054054","45.945945945946","48.648648648649","2020-04-24 10:18:00"
"Vijes","Valle del Cauca","3.69858792939","-76.4419652068","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
